"VEN","SQU","RRB","NRB"
26.72,37.42,11.23,44.33
28.58,56.46,29.63,76.86
29.71,51.91,20.42,4.45
26.95,62.73,10.12,55.01
10.97,4.55,39.91,58.21
21.97,39.17,32.66,74.72
14.35,38.44,38.38,11.84
32.21,40.92,36.21,139.09
19.19,58.93,16.39,69.01
30.92,61.88,27.44,94.61
10.42,49.54,17.29,48.35
35.49,64.35,56.2,37.65
36.84,82.49,28.94,66.36
25.03,38.54,20.11,72.48
33.59,39.53,25.35,87.09
33.74,37.57,21.77,26.34
18.02,25.71,31.62,71.24
22.27,23.97,32.63,90.38
26.1,13.82,30.31,50.86
20.89,42.21,46.16,
29.44,35.88,56.61,
14.86,10.54,24.47,
16.47,27.97,29.39,
25.19,41.89,40.71,
37.45,23.94,18.52,
45.08,49.81,27.8,
25.22,30.71,19.49,
22.11,50,15.82,
33.01,87.5,27.74,
31.2,68.99,22.35,
26.5,34.78,,
32.77,35.09,,
8.7,32.6,,
25.9,37.03,,
29.8,27,,
37.63,44.2,,
21.69,13.09,,
21.49,33.03,,
18.11,9.69,,
31.5,32.45,,
27.36,37.38,,
21.33,34.91,,
,27.99,,
,22.36,,
,22.68,,
,26.52,,
,46.01,,
,38.04,,
,30.88,,
,30.04,,
,25.91,,
,18.54,,
,25.51,,
