"FUNC","SUBJ","TIME"
80,1,1
95,2,1
65,3,1
50,4,1
60,5,1
70,6,1
80,7,1
70,8,1
80,9,1
65,10,1
60,11,1
50,12,1
50,13,1
85,14,1
50,15,1
15,16,1
10,17,1
80,18,1
60,1,2
90,2,2
55,3,2
45,4,2
75,5,2
70,6,2
80,7,2
60,8,2
80,9,2
30,10,2
70,11,2
50,12,2
65,13,2
45,14,2
65,15,2
30,16,2
15,17,2
85,18,2
95,1,3
95,2,3
50,3,3
70,4,3
80,5,3
75,6,3
85,7,3
75,8,3
70,9,3
45,10,3
95,11,3
70,12,3
80,13,3
85,14,3
90,15,3
20,16,3
55,17,3
90,18,3
100,1,4
95,2,4
45,3,4
70,4,4
85,5,4
70,6,4
80,7,4
65,8,4
65,9,4
60,10,4
80,11,4
60,12,4
65,13,4
80,14,4
70,15,4
25,16,4
75,17,4
70,18,4
