"EMT","ANGLE"
-.003,1
.05,1
.272,1
.552,1
1.116,1
2.733,1
0,1
.056,1
.275,1
.556,1
1.1,1
2.723,1
-.003,1
.055,1
.273,1
.553,1
1.1,1
2.713,1
.007,1
-.066,1
-.258,1
-.581,1
-1.162,1
.008,1
-.045,1
-.274,1
-.604,1
-1.143,1
-.004,1
-.05,1
-.29,1
-.607,1
-1.164,1
1.105,1
1.094,1
1.061,1
1.04,1
1.097,1
1.08,1
1.051,1
1.094,1
1.075,1
1.035,1
1.096,1
1.1,1
1.096,1
1.108,1
1.099,1
1.089,1
1.107,1
1.094,1
1.092,1
1.092,1
1.104,1
1.121,1
1.106,1
1.135,1
1.143,1
1.106,1
1.135,1
1.156,1
1.112,1
1.104,1
1.107,1
1.107,1
1.104,1
1.117,1
1.101,1
1.103,1
0,2
.053,2
.269,2
.555,2
1.103,2
2.727,2
-.002,2
.052,2
.271,2
.55,2
1.097,2
2.725,2
.003,2
.052,2
.27,2
.553,2
1.1,2
2.727,2
.022,2
-.075,2
-.298,2
-.585,2
-1.168,2
.017,2
-.052,2
-.258,2
-.548,2
-1.187,2
.019,2
-.044,2
-.292,2
-.542,2
-1.189,2
-.001,3
.01,3
.028,3
.055,3
.105,3
.272,3
.553,3
.84,3
1.1,3
1.647,3
2.728,3
-.001,3
.014,3
.027,3
.057,3
.111,3
.276,3
.555,3
.832,3
1.099,3
1.651,3
2.736,3
.564,3
.556,3
.555,3
.567,3
.559,3
.551,3
1.107,3
1.104,3
1.102,3
1.112,3
1.103,3
1.104,3
1.114,3
1.095,3
1.1,3
2.739,3
2.721,3
2.687,3
2.732,3
2.702,3
2.66,3
2.743,3
2.687,3
2.656,3
2.733,3
2.731,3
0,3
.006,3
.026,3
.053,3
.108,3
.278,3
.555,3
.834,3
1.106,3
1.65,3
2.729,3
.005,3
-.023,3
-.037,3
-.046,3
-.134,3
-.297,3
-.589,3
-.876,3
-1.157,3
-1.755,3
-2.862,3
0,3
.245,3
.497,3
.001,3
.248,3
.498,3
.001,3
.246,3
.491,3
.001,3
.262,3
.527,3
.001,3
.26,3
.523,3
-.005,3
.261,3
.523,3
2.696,3
2.664,3
2.722,3
2.686,3
2.661,3
.548,3
2.739,3
2.742,3
-.007,3
.012,3
-.039,3
-.08,3
-.118,3
-.291,3
-.602,3
-.884,3
-1.176,3
-1.725,3
.003,3
.003,3
-.011,3
-.06,3
-.097,3
-.32,3
-.593,3
-.84,3
-1.168,3
-1.76,3
.004,3
.566,3
1.116,3
2.762,3
.563,3
.551,3
.551,3
.561,3
.555,3
.558,3
.551,3
.566,3
.56,3
1.107,3
1.104,3
1.109,3
1.108,3
1.106,3
1.102,3
1.111,3
1.102,3
1.107,3
2.735,3
2.733,3
2.659,3
2.727,3
.542,3
.556,3
2.728,3
.558,3
.529,3
.524,3
.555,3
.539,3
.536,3
.557,3
.544,3
.539,3
1.109,3
1.085,3
1.07,3
1.11,3
1.069,3
1.045,3
1.11,3
1.066,3
1.037,3
2.728,3
2.694,3
2.663,3
2.724,3
2.693,3
2.67,3
2.72,3
2.688,3
2.66,3
.556,3
.56,3
.557,3
.551,3
.564,3
.555,3
.551,3
.563,3
.559,3
1.113,3
1.114,3
1.101,3
1.113,3
1.113,3
1.097,3
1.116,3
1.112,3
1.098,3
2.732,3
2.722,3
2.734,3
2.747,3
.003,4
.062,4
.287,4
.555,4
1.118,4
2.763,4
.006,4
.05,4
.277,4
.557,4
1.113,4
2.759,4
.01,4
.06,4
.286,4
.564,4
1.104,4
2.76,4
-.003,4
-.06,4
-.289,4
-.585,4
-1.18,4
0,4
-.034,4
-.295,4
-.579,4
-1.165,4
-.019,4
-.056,4
-.27,4
-.579,4
-1.162,4
