"calcium","Group"
1820,"A"
2588,"A"
2670,"A"
1022,"A"
1555,"A"
222,"A"
1197,"A"
1249,"A"
1520,"A"
489,"A"
2575,"A"
1426,"A"
1846,"A"
1088,"A"
912,"A"
1383,"A"
1483,"A"
1723,"A"
727,"A"
1463,"A"
1777,"A"
1129,"A"
191,"B"
1098,"B"
644,"B"
136,"B"
1605,"B"
1247,"B"
1529,"B"
1422,"B"
445,"B"
990,"B"
489,"B"
2408,"B"
1064,"B"
629,"B"
724,"C"
613,"C"
918,"C"
949,"C"
877,"C"
1368,"C"
1692,"C"
697,"C"
849,"C"
1199,"C"
429,"C"
798,"C"
631,"C"
1016,"C"
1025,"C"
948,"C"
1085,"C"
775,"C"
1307,"C"
344,"C"
961,"C"
239,"C"
944,"C"
1096,"C"
1020,"C"
805,"C"
631,"C"
641,"C"
760,"C"
1652,"D"
1309,"D"
1002,"D"
966,"D"
788,"D"
472,"D"
471,"D"
771,"D"
869,"D"
513,"D"
731,"D"
1130,"D"
1034,"D"
1261,"D"
42,"D"
767,"D"
752,"D"
804,"D"
1182,"D"
1243,"D"
985,"D"
1295,"D"
1676,"D"
754,"D"
775,"D"
1393,"D"
533,"D"
734,"D"
485,"D"
449,"D"
236,"D"
831,"D"
698,"D"
167,"D"
824,"D"
448,"D"
991,"D"
590,"D"
994,"D"
1781,"D"
937,"D"
1022,"D"
1073,"D"
948,"D"
222,"D"
721,"D"
375,"D"
1187,"D"
