"YEARS","GROUP"
15,1
17,1
18,1
20,1
20,1
20,1
30,1
37,1
43,1
48,1
60,1
100,1
100,1
8,2
10,2
15,2
20,2
22,2
24,2
25,2
26,2
27,2
29,2
30,2
30,2
35,2
35,2
39,2
40,2
40,2
40,2
40,2
40,2
40,2
45,2
45,2
45,2
50,2
51,2
52,2
55,2
58,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
60,2
66,2
66,2
67,2
68,2
68,2
70,2
70,2
70,2
75,2
75,2
75,2
75,2
76,2
80,2
80,2
80,2
80,2
80,2
80,2
80,2
84,2
84,2
84,2
90,2
90,2
90,2
90,2
95,2
96,2
98,2
98,2
99,2
100,2
100,2
100,2
100,2
100,2
100,2
105,2
110,2
110,2
120,2
120,2
123,2
125,2
125,2
126,2
130,2
130,2
132,2
132,2
142,2
157,2
180,2
8,3
15,3
25,3
25,3
25,3
26,3
30,3
34,3
35,3
36,3
40,3
45,3
45,3
45,3
45,3
48,3
48,3
49,3
52,3
60,3
60,3
60,3
64,3
64,3
70,3
70,3
70,3
75,3
75,3
76,3
80,3
80,3
82,3
86,3
87,3
90,3
90,3
90,3
90,3
90,3
95,3
99,3
100,3
102,3
105,3
105,3
105,3
111,3
113,3
120,3
120,3
125,3
125,3
129,3
130,3
133,3
135,3
140,3
154,3
