"plate","Group"
1.97,0
.85,0
1.79,0
2.3,0
1.71,0
2.66,0
2.49,0
2.37,0
1.81,0
2.51,0
2.38,0
2.58,0
2.58,0
2.84,0
2.55,0
1.9,0
2.28,0
2.33,0
1.77,0
1.83,0
1.67,0
2.67,0
1.8,0
2.33,0
2.6,0
1.88,0
2.33,0
2.48,0
2.15,0
1.41,0
2.03,0
2.59,0
2.23,0
1.61,0
1.86,0
2.33,0
2.34,0
1.38,0
2.52,0
2.35,0
2.63,0
2.03,0
1.08,0
2.4,0
1.77,0
2.48,0
2.23,0
2.51,0
2.38,0
2.31,0
2.08,0
2.49,0
2.21,0
2.45,0
1.96,0
2.29,0
2.54,0
2.23,0
2.78,0
2.36,0
1.89,0
2.26,0
1.79,0
1.87,0
2.51,0
2.29,0
2.38,0
1.38,1
1.86,1
2.26,1
1.99,1
1.32,1
2.11,1
2.54,1
2.06,1
2.41,1
2.23,1
2,1
2.74,1
2,1
2.51,1
2.08,1
2.45,1
2.6,1
1.83,1
2.47,1
1.92,1
2.51,1
1.79,1
2.17,1
2.18,1
2.53,1
1.98,1
1.93,1
2.42,1
.79,1
1.38,1
1.87,2
1.9,2
2.43,2
1.32,2
2.06,2
1.04,2
1.99,2
1.52,2
1.99,2
2.52,2
1.93,2
2.29,2
1.75,2
2.16,2
1.81,2
2.46,2
1.66,2
2.51,2
1.76,2
1.72,2
2.57,2
2.3,2
.7,2
2.16,2
2.17,2
2.12,2
2.27,2
2.37,2
1.75,2
2.57,2
1.51,2
1.08,2
2.36,2
1.58,2
1.83,2
2.55,2
1.8,2
2.44,2
2.81,2
2.17,2
2.72,2
2.44,2
1.98,2
1.57,2
2.05,2
2.3,2
1.36,2
2.48,2
1.4,2
1.75,2
2.67,2
2.37,2
1.46,2
1.91,2
1.77,3
1.68,3
1.46,3
1.53,3
1.36,3
1.65,3
2.12,3
1.73,3
1.91,3
1.57,3
2.27,3
1,3
1.81,3
2.27,3
2.43,3
1.74,3
1.6,3
2.08,3
2.34,3
1.89,3
1.75,3
1.69,3
2.49,3
1.75,3
1.86,3
1.26,3
2.36,3
