"subject","score","type"
1,2,1
2,4,1
3,4,1
4,6,1
5,5,1
6,2,1
7,10,1
8,5,1
9,10,1
10,3,1
11,11,1
12,10,1
13,5,1
14,8,1
15,4,1
16,11,1
17,6,1
18,2,1
19,3,1
20,7,1
21,7,1
22,8,1
23,4,1
24,9,1
1,10,2
2,3,2
3,13,2
4,11,2
5,13,2
6,0,2
7,17,2
8,5,2
9,4,2
10,6,2
11,9,2
12,9,2
13,8,2
14,11,2
15,8,2
16,8,2
17,11,2
18,5,2
19,1,2
20,5,2
21,10,2
22,7,2
23,9,2
24,6,2
1,2,3
2,2,3
3,0,3
4,2,3
5,5,3
6,1,3
7,2,3
8,2,3
9,5,3
10,9,3
11,8,3
12,6,3
13,4,3
14,1,3
15,5,3
16,10,3
17,1,3
18,1,3
19,0,3
20,0,3
21,4,3
22,-2,3
23,3,3
24,3,3
1,-4,4
2,1,4
3,1,4
4,1,4
5,1,4
6,4,4
7,6,4
8,2,4
9,2,4
10,3,4
11,7,4
12,10,4
13,1,4
14,1,4
15,2,4
16,2,4
17,3,4
18,2,4
19,-3,4
20,-6,4
21,4,4
22,8,4
23,0,4
24,5,4
