"MONTHS","PHYS","PSYCH"
11,1,"A"
9.6,1,"A"
10.8,1,"A"
10.5,2,"A"
11.5,2,"A"
12,2,"A"
12,3,"A"
11.5,3,"A"
11.8,3,"A"
11.5,4,"A"
11.8,4,"A"
10.5,4,"A"
11,5,"A"
11.2,5,"A"
10,5,"A"
11.2,6,"A"
10.8,6,"A"
11.8,6,"A"
9.4,1,"B"
9.6,1,"B"
9.6,1,"B"
10.8,2,"B"
10.5,2,"B"
10.5,2,"B"
11.5,3,"B"
11.5,3,"B"
12.3,3,"B"
9.4,4,"B"
9.1,4,"B"
10.8,4,"B"
11.2,5,"B"
11.8,5,"B"
10.2,5,"B"
10.8,6,"B"
11.5,6,"B"
10.2,6,"B"
12.5,1,"C"
11.5,1,"C"
10.5,1,"C"
10.5,2,"C"
11.8,2,"C"
11.5,2,"C"
11.8,3,"C"
11.8,3,"C"
12.3,3,"C"
13.7,4,"C"
13.5,4,"C"
12.5,4,"C"
14.4,5,"C"
14.2,5,"C"
13.5,5,"C"
11.5,6,"C"
10.2,6,"C"
11.5,6,"C"
13.2,1,"D"
13.2,1,"D"
13.5,1,"D"
15,2,"D"
14.6,2,"D"
14,2,"D"
12.8,3,"D"
13.7,3,"D"
13.1,3,"D"
14,4,"D"
15,4,"D"
14,4,"D"
13,5,"D"
14.2,5,"D"
13.7,5,"D"
11.8,6,"D"
12.8,6,"D"
12,6,"D"
