"Count","Group"
6,"healthy"
6.3,"healthy"
5.1,"healthy"
6.2,"healthy"
10.4,"healthy"
4.4,"healthy"
7.4,"healthy"
7,"healthy"
5.6,"healthy"
5.3,"healthy"
2.6,"healthy"
6.3,"healthy"
6.1,"healthy"
5.3,"healthy"
5.4,"healthy"
5.2,"healthy"
4.3,"healthy"
4.9,"healthy"
7.3,"healthy"
4.9,"healthy"
6.9,"healthy"
4.3,"healthy"
5.6,"healthy"
5.1,"healthy"
7.7,"A"
7.8,"A"
6.1,"A"
9.6,"A"
5.5,"A"
5.8,"A"
4,"A"
5.4,"A"
10.4,"B"
5.6,"B"
7,"B"
8.2,"B"
9,"B"
8.4,"B"
8.1,"B"
8,"B"
6.5,"B"
9.1,"B"
11,"B"
10.9,"B"
10.6,"B"
5.2,"B"
7.9,"B"
7.6,"B"
5.8,"B"
7,"B"
8,"C"
6.7,"C"
9.3,"C"
6.6,"C"
9.3,"C"
7.2,"C"
5.2,"C"
9.8,"C"
6.2,"C"
10.1,"C"
9.3,"C"
9.4,"C"
6.5,"C"
5.4,"C"
7.6,"C"
9.2,"C"
9.5,"D"
7.8,"D"
5.7,"D"
8,"D"
9.6,"D"
13.7,"D"
6.3,"D"
7.3,"D"
6.2,"D"
