"Sens","Treat","Count"
"No","Act",49.9
"No","Act",50.6
"No","Act",50.35
"No","Act",44.1
"No","Act",36.3
"No","Act",39.15
"No","Air",24.15
"No","Air",24.6
"No","Air",22.55
"No","Air",25.1
"No","Air",22.65
"No","Air",26.85
"No","Benz",31.1
"No","Benz",18.3
"No","Benz",19.35
"No","Benz",15.4
"No","Benz",27.1
"No","Benz",21.9
"Yes","Act",90.3
"Yes","Act",72.95
"Yes","Act",138.6
"Yes","Act",80.05
"Yes","Act",69.25
"Yes","Act",31.7
"Yes","Air",40.2
"Yes","Air",63.2
"Yes","Air",59.1
"Yes","Air",79.6
"Yes","Air",102.45
"Yes","Air",64.6
"Yes","Benz",22.15
"Yes","Benz",22.75
"Yes","Benz",22.15
"Yes","Benz",37.85
"Yes","Benz",19.35
"Yes","Benz",66.7
