"AMP","SMOKE","VEG"
23.33,1,"ve1"
31.82,1,"ve1"
10.61,1,"ve1"
42.59,1,"ve1"
23.15,1,"ve1"
17.29,1,"ve1"
13.37,1,"ve1"
9.76,1,"ve1"
22.24,1,"ve1"
8.77,1,"ve1"
20.28,1,"ve1"
16.14,2,"ve1"
20.8,2,"ve1"
15.44,2,"ve1"
13.73,2,"ve1"
16.83,3,"ve1"
29.4,3,"ve1"
6.5,3,"ve1"
10.18,3,"ve1"
13.86,3,"ve1"
20.69,1,"ve2"
16.21,1,"ve2"
28.49,1,"ve2"
25.67,1,"ve2"
15.29,1,"ve2"
7.51,1,"ve2"
22.03,1,"ve2"
10.27,1,"ve2"
11.67,1,"ve2"
30.17,1,"ve2"
29.2,1,"ve2"
8.73,1,"ve2"
9.08,1,"ve2"
22.53,1,"ve2"
17.19,1,"ve2"
44.92,2,"ve2"
27.91,3,"ve2"
36.89,3,"ve2"
16.8,3,"ve2"
17.08,3,"ve2"
18.77,3,"ve2"
18.33,3,"ve2"
9.44,1,"ve3"
19.16,1,"ve3"
14.46,1,"ve3"
17.59,2,"ve3"
18.9,2,"ve3"
5.57,3,"ve3"
13.51,3,"ve3"
17.37,3,"ve3"
10.63,3,"ve3"
13.83,3,"ve3"
