"site","length","width","height"
1,7.2,6.1,4.45
1,7.5,5.9,4.65
1,6.89,5.45,4
1,6.95,5.76,4.02
1,6.73,5.36,3.9
1,7.25,5.84,4.4
1,7.2,5.83,4.19
1,6.85,5.75,3.95
1,7.52,6.27,4.6
1,7.01,5.65,4.2
1,6.65,5.55,4.1
1,7.55,6.25,4.72
1,7.14,5.65,4.26
1,7.45,6.05,4.85
1,7.24,5.73,4.29
1,7.75,6.35,4.85
1,6.85,6.05,4.5
1,6.5,5.3,3.73
1,6.64,5.36,3.99
1,7.19,5.85,4.05
1,7.15,6.3,4.55
1,7.21,6.12,4.37
1,7.15,6.2,4.36
1,7.3,6.15,4.65
1,6.35,5.25,3.75
2,7.25,6.25,4.65
2,7.23,5.99,4.2
2,6.85,5.61,4.01
2,7.07,5.91,4.31
2,6.55,5.3,3.95
2,7.43,6.1,4.6
2,7.3,5.95,4.29
2,6.9,5.8,4.33
2,7.1,5.81,4.26
2,6.95,5.65,4.31
2,7.39,6.04,4.5
2,6.54,5.89,3.65
2,6.39,5,3.72
2,6.08,4.8,3.51
2,6.3,5.05,3.69
2,6.35,5.1,3.73
2,7.34,6.45,4.55
2,6.7,5.51,3.89
2,7.08,5.81,4.34
2,7.09,5.95,4.39
2,7.4,6.25,4.85
2,6,4.75,3.37
2,6.94,5.63,4.09
3,5.95,4.75,3.2
3,7.6,6.45,4.56
3,6.15,5.05,3.5
3,7,5.8,4.3
3,6.81,5.61,4.22
3,7.1,5.75,4.1
3,6.85,5.55,3.89
3,6.68,5.5,3.9
3,5.51,4.52,2.7
3,6.85,5.53,4
3,7.1,5.8,4.45
3,6.81,5.45,3.51
3,7.3,6,4.31
3,7.05,6.25,4.71
3,6.75,5.65,4
3,6.75,5.57,4.06
3,7.35,6.21,4.29
3,6.22,5.11,3.35
3,6.8,5.81,4.5
3,6.29,4.95,3.69
3,7.55,5.93,4.55
3,7.45,6.19,4.7
3,6.7,5.55,4
3,7.51,6.2,4.74
3,6.95,5.69,4.29
3,7.5,6.2,4.65
