"EMG","SUBJ","ANGLE"
30.96,1,5
3.61,2,5
8.46,3,5
.69,4,5
4.4,5,5
4.59,6,5
3.31,7,5
1.98,8,5
10.43,9,5
20.91,10,5
5.59,11,5
8.67,12,5
2.11,13,5
3.82,14,5
39.51,15,5
3.31,16,5
11.42,17,5
2.97,18,5
11.32,1,15
1.47,2,15
2.94,3,15
1.06,4,15
3.02,5,15
9.8,6,15
3.31,7,15
6.49,8,15
4.96,9,15
20.72,10,15
3.13,11,15
4.32,12,15
1.59,13,15
5.04,14,15
62.34,15,15
4.95,16,15
7.53,17,15
2.18,18,15
4.34,1,25
3.5,2,25
1.83,3,25
1.39,4,25
3.74,5,25
10.71,6,25
4.12,7,25
2.61,8,25
12.37,9,25
12.7,10,25
2.83,11,25
2.29,12,25
2.4,13,25
6.81,14,25
70.46,15,25
12.49,16,25
4.65,17,25
2.36,18,25
5.99,1,35
10.25,2,35
5.8,3,35
1.08,4,35
3.83,5,35
11.64,6,35
12.56,7,35
3.28,8,35
24.32,9,35
15.06,10,35
4.31,11,35
6.2,12,35
2.56,13,35
10.74,14,35
20.48,15,35
9.18,16,35
4.7,17,35
4.61,18,35
8.43,1,45
3.3,2,45
11.59,3,45
.96,4,45
3.73,5,45
9.78,6,45
4.6,7,45
10.29,8,45
17.16,9,45
12.03,10,45
6.37,11,45
13.01,12,45
2.83,13,45
10.1,14,45
17.38,15,45
14,16,45
7.57,17,45
7.83,18,45
10.5,1,55
3.62,2,55
15.17,3,55
2.52,4,55
10.16,5,55
6.91,6,55
1.88,7,55
7.56,8,55
34.71,9,55
11.31,10,55
13.95,11,55
19.3,12,55
2.55,13,55
13.14,14,55
54.04,15,55
16.17,16,55
9.86,17,55
17.49,18,55
4.49,1,65
10.14,2,65
13.04,3,65
2.9,4,65
9.31,5,65
8.53,6,65
2.42,7,65
16.68,8,65
35.3,9,65
28.47,10,65
13.48,11,65
9.33,12,65
5.84,13,65
19.39,14,65
25.76,15,65
25.75,16,65
5.3,17,65
42.55,18,65
10.93,1,75
11.05,2,75
10.57,3,75
3.27,4,75
12.7,5,75
8.3,6,75
2.46,7,75
14.52,8,75
37.03,9,75
26.81,10,75
11.15,11,75
12.3,12,75
5.23,13,75
13.31,14,75
50.32,15,75
11.82,16,75
4.47,17,75
61.84,18,75
33.26,1,85
8.78,2,85
8.22,3,85
5.52,4,85
11.45,5,85
11.75,6,85
2.19,7,85
13.49,8,85
45.65,9,85
25.08,10,85
30.97,11,85
12.2,12,85
8.84,13,85
12.02,14,85
46.84,15,85
13.17,16,85
3.99,17,85
39.7,18,85
