"VC","AGEGROUP","OCC"
4.31,1,"a"
4.89,1,"a"
4.05,1,"a"
4.44,1,"a"
4.59,1,"a"
4.68,1,"b"
6.18,1,"b"
4.48,1,"b"
4.23,1,"b"
5.92,1,"b"
4.17,1,"c"
3.77,1,"c"
5.2,1,"c"
5.28,1,"c"
4.44,1,"c"
5.75,1,"d"
5.7,1,"d"
5.53,1,"d"
5.97,1,"d"
5.52,1,"d"
4.13,2,"a"
4.61,2,"a"
3.91,2,"a"
4.52,2,"a"
4.43,2,"a"
3.41,2,"b"
3.64,2,"b"
3.32,2,"b"
3.51,2,"b"
3.75,2,"b"
3.89,2,"c"
3.64,2,"c"
4.18,2,"c"
4.48,2,"c"
4.27,2,"c"
4.58,2,"d"
5.21,2,"d"
5.5,2,"d"
5.18,2,"d"
4.15,2,"d"
3.79,3,"a"
4.17,3,"a"
4.47,3,"a"
4.35,3,"a"
3.59,3,"a"
4.63,3,"b"
4.59,3,"b"
4.9,3,"b"
5.31,3,"b"
4.81,3,"b"
5.81,3,"c"
5.2,3,"c"
5.34,3,"c"
5.94,3,"c"
5.56,3,"c"
6.89,3,"d"
6.18,3,"d"
6.21,3,"d"
7.56,3,"d"
6.73,3,"d"
