"CA","GROUP"
-8,"Normal"
-16,"Normal"
-22,"Normal"
-26,"Normal"
-8,"Normal"
12,"Normal"
-8,"Normal"
12,"Normal"
-20,"Normal"
-20,"Normal"
-5,"Normal"
10,"Normal"
-4,"Normal"
-2,"Normal"
-6,"Normal"
-7,"Normal"
0,"Normal"
-2,"Normal"
-15,"Normal"
-5,"Normal"
4,"Lateral"
18,"Lateral"
5,"Lateral"
-6,"Lateral"
32,"Lateral"
30,"Lateral"
-10,"Lateral"
28,"Lateral"
6,"Lateral"
9,"Lateral"
10,"Lateral"
20,"Lateral"
-9,"Lateral"
-10,"Lateral"
12,"Lateral"
0,"Lateral"
35,"Lateral"
-1,"Lateral"
5,"Lateral"
22,"Lateral"
22,"Lateral"
12,"Lateral"
-8,"Lateral"
-8,"Lateral"
-20,"Lateral"
-5,"Lateral"
-10,"Lateral"
-16,"Medial"
-25,"Medial"
20,"Medial"
-8,"Medial"
8,"Medial"
-14,"Medial"
-18,"Medial"
-4,"Medial"
-20,"Medial"
-20,"Medial"
-20,"Medial"
-22,"Medial"
-15,"Medial"
-10,"Medial"
-5,"Medial"
-5,"Medial"
-6,"Medial"
-15,"Medial"
-25,"Medial"
-10,"Medial"
-20,"Medial"
10,"Medial"
-5,"Medial"
-10,"Medial"
-12,"Medial"
-14,"Medial"
15,"Multi"
-26,"Multi"
-8,"Multi"
-12,"Multi"
-40,"Multi"
-20,"Multi"
-16,"Multi"
-34,"Multi"
-14,"Multi"
-6,"Multi"
-35,"Multi"
-24,"Multi"
-25,"Multi"
10,"Multi"
-16,"Multi"
-30,"Multi"
-30,"Multi"
