"SUBJECT","TIME1","TIME2","TIME3","TIME4","TIME5","TIME6","EXPER"
1,-8.4151514,-7.4902674,-8.0227733,-7.3520265,-7.8917234,-7.847267,1
2,-12.196679,-5.1496679,-10.464863,-8.4051724,-9.0278981,5.13333985,1
3,-9.7418719,-5.9062747,-7.0651695,-4.1997413,-3.3379597,-5.653807,1
4,-15.029192,-14.416547,-16.612682,-15.362397,-17.6331411,-14.43982,1
5,-5.8845683,-5.8845683,-3.5778175,-5.5043347,-5.122426,-6.2631379,1
6,-9.71,-7.57,-3.5299556,-4.2293857,-7.8692308,-7.5116822,1
7,-6.9787024,-6.5752716,-5.0702021,-5.9441634,-5.2153535,-6.3428562,1
8,-13.539101,-11.718691,-10.773129,-11.641454,-12.40814,-8.2641132,2
9,-8.8259516,-8.9029745,-6.3816003,-5.6939659,-6.3816003,-7.3735092,2
10,-4.2410016,-1.344891,-2.4974039,-1.0123457,-5.5857215,-2.8181109,2
11,-10.719287,-9.7651132,-11.121409,-12.130531,-15.983607,-12.646675,2
12,-6.948776,-2.983066,1.77828157,2.28844839,2.59034233,1.56622058,2
13,-7.116066,-5.4111706,-7.0708634,-8.3543004,-10.606637,-9.4568958,2
14,-7.0497788,-5.7725485,-5.180455,-7.9284188,-8.3846272,-8.4454277,2
