"PSWQ","Group"
59,1
51,1
58,1
61,1
64,1
68,1
64,1
67,1
56,1
78,1
48,1
62,1
77,1
72,1
59,1
50,2
28,2
43,2
36,2
36,2
30,2
24,2
39,2
29,2
48,2
36,2
38,2
42,2
26,2
35,2
32,2
43,2
55,2
42,2
37,2
36,2
41,2
36,2
34,2
42,2
35,2
51,2
37,2
50,2
39,2
46,3
77,3
80,3
60,3
59,3
56,3
44,3
71,3
54,3
64,3
66,3
59,3
68,3
59,3
61,3
78,3
70,3
74,3
73,3
65,4
62,4
76,4
66,4
78,4
76,4
74,4
73,4
61,4
63,4
75,4
63,4
55,4
67.5,4
70,4
70,4
55,4
73,4
80,4
79,4
79,4
61,4
61,4
72,4
67,4
74,4
65,4
68,4
72,4
75,4
56,4
65,4
66,4
69,4
73,4
67,4
78,4
76,4
66,4
55,4
59,4
44,4
68,4
64,4
41,4
54,4
72,4
74,4
59,4
63,4
51,4
72,4
63,4
58,4
71,4
