"AGE","GROUP"
64,"Husband"
70,"Husband"
55,"Husband"
67,"Husband"
79,"Husband"
67,"Husband"
77,"Husband"
68,"Husband"
72,"Husband"
67,"Husband"
77,"Husband"
70,"Husband"
65,"Husband"
65,"Husband"
74,"Husband"
86,"Husband"
72,"Husband"
71,"Husband"
78,"Husband"
71,"Husband"
88,"Husband"
77,"Husband"
75,"Husband"
66,"Husband"
80,"Husband"
76,"Husband"
67,"Husband"
65,"Husband"
62,"Husband"
82,"Husband"
75,"Husband"
80,"Husband"
74,"Husband"
70,"Husband"
66,"Husband"
58,"Husband"
81,"Husband"
77,"Husband"
76,"Husband"
64,"Husband"
82,"Husband"
85,"Husband"
63,"Husband"
72,"Husband"
77,"Husband"
79,"Husband"
63,"Husband"
80,"Husband"
70,"Husband"
85,"Husband"
76,"Husband"
67,"Husband"
72,"Husband"
60,"Husband"
74,"Husband"
65,"Husband"
53,"Husband"
70,"Husband"
72,"Husband"
74,"Husband"
79,"Husband"
63,"Husband"
77,"Husband"
78,"Husband"
69,"Husband"
73,"Wife"
71,"Wife"
70,"Wife"
71,"Wife"
56,"Wife"
68,"Wife"
76,"Wife"
67,"Wife"
66,"Wife"
67,"Wife"
72,"Wife"
72,"Wife"
70,"Wife"
66,"Wife"
73,"Wife"
78,"Wife"
64,"Wife"
78,"Wife"
59,"Wife"
71,"Wife"
70,"Wife"
67,"Wife"
78,"Wife"
67,"Wife"
55,"Wife"
64,"Wife"
69,"Wife"
59,"Wife"
55,"Wife"
75,"Wife"
68,"Wife"
65,"Wife"
81,"Wife"
79,"Wife"
75,"Wife"
59,"Wife"
66,"Wife"
80,"Wife"
76,"Wife"
68,"Wife"
53,"Wife"
78,"Wife"
75,"Wife"
74,"Wife"
86,"Wife"
63,"Wife"
52,"Wife"
55,"Wife"
71,"Wife"
67,"Wife"
78,"Wife"
70,"Wife"
68,"Wife"
78,"Wife"
59,"Wife"
72,"Wife"
73,"Wife"
75,"Wife"
54,"Wife"
65,"Wife"
67,"Wife"
83,"Wife"
70,"Wife"
72,"Wife"
71,"Wife"
76,"Wife"
74,"Wife"
68,"Wife"
69,"Wife"
72,"Wife"
67,"Wife"
67,"Wife"
57,"Wife"
53,"Wife"
50,"Wife"
70,"Wife"
70,"Wife"
40,"Daughter"
47,"Daughter"
46,"Daughter"
45,"Daughter"
69,"Daughter"
48,"Daughter"
53,"Daughter"
50,"Daughter"
47,"Daughter"
62,"Daughter"
55,"Daughter"
49,"Daughter"
43,"Daughter"
44,"Daughter"
47,"Daughter"
57,"Daughter"
49,"Daughter"
50,"Daughter"
58,"Daughter"
46,"Daughter"
47,"Daughter"
50,"Daughter"
53,"Daughter"
57,"Daughter"
65,"Daughter"
50,"Daughter"
43,"Daughter"
59,"Daughter"
44,"Daughter"
45,"Daughter"
41,"Daughter"
50,"Daughter"
58,"Daughter"
35,"Daughter"
50,"Daughter"
59,"Daughter"
45,"Daughter"
50,"Daughter"
48,"Daughter"
51,"Daughter"
46,"Daughter"
62,"Daughter"
55,"Daughter"
50,"Daughter"
43,"Daughter"
39,"Daughter"
50,"Daughter"
50,"Daughter"
43,"Daughter"
28,"Daughter"
