"RAT","DIET","BW","HW","LW","KW","SW","HWBW","LWBW","KWBW","SWBW","CERUL"
1,1,253.66,.89,2.82,1.49,.41,.0035086336040369,.011117243554364109,.0058740045730505406,.0016163368288259876,
2,1,400.93,1.41,3.98,2.15,.76,.003516823385628414,.009926919911206445,.005362532112837652,.0018955927468635423,5.27
3,1,355.89,1.24,5.15,2.27,.69,.003484222653066959,.014470763438141,.006378375340695159,.0019388013150130657,4.8
4,1,404.7,2.18,4.77,2.99,.76,.005386706202125032,.01178650852483321,.00738818878181369,.0018779342723004697,4.97
6,2,397.28,.99,2.34,1.84,.5,.002491945227547322,.0058900523560209425,.004631494160289972,.0012585581957309706,35.3
7,2,421.88,1.2,3.26,2.32,.79,.002844410732909832,.007727315824405044,.005499194083625676,.0018725703991656396,39
8,2,386.87,.88,3.05,1.86,.84,.002274665908444697,.00788378525085946,.004807816579212656,.0021712720035153925,28
9,2,401.74,1.02,2.8,2.06,.76,.00253895554338627,.006969681883805446,.005127694528799721,.0018917707970329068,34.2
10,2,437.56,1.22,3.94,2.25,.75,.0027881890483590823,.00900447938568425,.005142151933449127,.0017140506444830424,45.2
11,3,490.56,1.21,4.51,2.3,.78,.002466568819308545,.009193574690150032,.004688519243313764,.0015900195694716244,34.6
12,3,528.51,1.34,4.38,2.75,.76,.002535429793192182,.008287449622523698,.005203307411401866,.0014380049573328793,39
13,3,485.51,1.36,4.4,2.46,.82,.002801178142571729,.00906263516714383,.005066836934357686,.001688945644785895,37.1
14,3,509.5,1.27,4.67,2.5,.79,.002492639842983317,.00916584887144259,.004906771344455349,.0015505397448478903,33.4
15,3,489.62,1.31,5.83,2.74,.81,.0026755442996609616,.011907193333605653,.0055961766267717825,.0016543441852865488,37.3
